174,199,220,224,226,246,250,286,333,379,386,394,422,457,489,529,556,557,553,583,609,634,656,670,669,667,681,725,753,783,796,788,784,796,824,850,877,888,874,857,871,904,938,971,980,966,955,981,1007,1024,1062,1076,1052,1049,1061,1128,1134,1147,1149,1129
0.58,0.63,0.6,0.59,0.58,0.57,0.58,0.57,0.54,0.57,0.56,0.55,0.6,0.6,0.62,0.6,0.58,0.64,0.64,0.6,0.61,0.64,0.64,0.63,0.64,0.6,0.63,0.6,0.61,0.61,0.61,0.64,0.61,0.64,0.64,0.67,0.64,0.61,0.63,0.62,0.61,0.66,0.62,0.56,0.57,0.6,0.58,0.59,0.62,0.59,0.6,0.57,0.64,0.64,0.61,0.62,0.61,0.64,0.6,0.49
328,335,318,201,191,380,231,580,859,781,393,344,510,639,832,874,554,224,180,718,573,617,693,499,202,245,478,1082,958,750,864,249,279,434,844,818,739,711,245,241,536,1039,923,1004,833,359,311,821,829,793,1368,1060,483,485,1050,1174,855,783,661,144
0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
